especie,porte,idade_categoria,temperatura,umidade,atividade_pct,nivel_risco
gato,unico,adulto,28.67,41.89,51.58,normal
cao,medio,adulto,22.56,32.99,83.7,normal
cao,pequeno,filhote,24.51,39.04,23.97,atencao
cao,pequeno,idoso,29.01,54.53,45.57,normal
ave,unico,filhote,24.41,51.74,77.88,atencao
cao,pequeno,idoso,36.04,57.63,85.32,atencao
gato,unico,idoso,25.87,55.24,46.82,normal
cao,pequeno,filhote,27.83,49.38,41.9,normal
cao,pequeno,idoso,26.06,65.77,4.25,critico
gato,unico,filhote,22.64,47.23,82.73,normal
ave,unico,adulto,33.15,63.83,47.33,normal
ave,unico,adulto,33.67,25.18,50.68,normal
cao,grande,adulto,34.64,62.06,96.97,normal
ave,unico,filhote,31.86,45.89,73.41,normal
gato,unico,adulto,26.36,63.77,23.34,normal
cao,medio,idoso,27.35,38.1,5.01,critico
ave,unico,adulto,35.32,56.66,59.43,normal
cao,pequeno,adulto,25.92,48.38,21.78,atencao
cao,medio,filhote,32.5,65.48,84.96,normal
gato,unico,adulto,24.42,57.53,52.2,normal
cao,medio,adulto,23.82,63.63,27.88,normal
cao,pequeno,filhote,40.33,61.05,64.38,critico
cao,grande,idoso,26.05,82.93,72.75,critico
gato,unico,adulto,20.93,83.24,6.06,critico
gato,unico,adulto,33.84,47.73,19.07,normal
cao,pequeno,adulto,20.57,59.85,74.43,normal
cao,grande,adulto,32.03,34.21,27.67,normal
ave,unico,filhote,44.19,53.13,58.62,critico
gato,unico,idoso,25.21,59.34,72.11,normal
cao,medio,adulto,22.78,36.96,32.38,normal
gato,unico,adulto,29.24,60.57,37.53,normal
gato,unico,adulto,20.29,33.29,14.68,atencao
gato,unico,adulto,24.14,73.42,97.96,atencao
cao,pequeno,idoso,29.63,33.35,47.44,normal
gato,unico,filhote,39.37,32.49,57.03,critico
gato,unico,adulto,32.54,42.89,25.64,normal
cao,grande,filhote,27.17,36.87,63.72,normal
ave,unico,adulto,37.88,58.23,29.25,atencao
ave,unico,adulto,27.19,41.53,42.2,normal
gato,unico,idoso,28.17,36.23,48.61,normal
ave,unico,filhote,32.6,54.19,50.8,normal
gato,unico,adulto,23.83,67.13,72.46,normal
cao,pequeno,adulto,27.44,30.51,99.43,normal
gato,unico,adulto,29.4,42.68,89.74,normal
cao,medio,adulto,23.88,51.76,72.71,normal
ave,unico,filhote,28.68,83.11,84.03,atencao
cao,medio,filhote,17.64,34.83,52.0,atencao
ave,unico,idoso,35.01,50.64,72.92,normal
ave,unico,adulto,35.19,43.78,79.54,normal
ave,unico,filhote,27.14,71.34,32.15,atencao
gato,unico,adulto,22.11,43.7,50.14,normal
ave,unico,idoso,35.07,36.36,58.68,atencao
cao,medio,adulto,28.48,57.56,90.5,normal
cao,medio,adulto,29.54,60.44,12.4,atencao
cao,pequeno,adulto,26.92,30.37,43.5,atencao
ave,unico,idoso,25.55,50.89,52.59,critico
ave,unico,adulto,37.32,63.01,55.21,normal
cao,medio,adulto,31.14,62.6,71.12,normal
ave,unico,adulto,34.63,53.13,70.02,normal
ave,unico,adulto,32.34,69.68,18.4,critico
gato,unico,idoso,34.85,39.88,96.55,atencao
gato,unico,adulto,25.15,43.08,27.66,normal
gato,unico,adulto,24.28,77.53,25.6,atencao
cao,medio,adulto,25.78,55.73,83.53,normal
ave,unico,idoso,28.63,46.73,80.18,normal
gato,unico,adulto,20.03,15.05,67.67,atencao
cao,pequeno,adulto,25.33,61.77,31.97,normal
cao,pequeno,idoso,28.62,49.35,23.1,atencao
cao,medio,adulto,20.97,53.2,67.11,normal
gato,unico,idoso,33.08,49.54,67.01,atencao
ave,unico,idoso,18.15,67.17,70.49,critico
cao,grande,adulto,21.16,32.34,50.07,normal
cao,grande,adulto,31.77,58.31,84.15,normal
gato,unico,filhote,27.21,47.97,29.79,normal
gato,unico,adulto,24.59,47.36,22.53,normal
ave,unico,adulto,28.09,37.02,84.83,atencao
gato,unico,idoso,29.78,43.18,31.93,normal
gato,unico,adulto,28.93,49.85,30.15,normal
ave,unico,adulto,34.6,74.69,83.57,normal
ave,unico,filhote,19.66,60.11,52.03,critico
ave,unico,adulto,30.07,51.71,20.39,atencao
cao,medio,adulto,20.36,78.8,77.33,atencao
cao,medio,adulto,33.94,61.3,29.21,normal
ave,unico,adulto,36.94,47.89,59.5,normal
cao,grande,idoso,27.01,83.76,61.75,critico
ave,unico,idoso,31.8,46.6,45.92,normal
gato,unico,adulto,30.19,49.86,2.18,critico
cao,pequeno,adulto,30.94,60.62,36.92,normal
gato,unico,adulto,28.54,35.41,78.87,normal
ave,unico,adulto,34.2,73.48,39.48,normal
gato,unico,idoso,21.73,42.59,39.2,normal
cao,medio,idoso,24.27,63.81,47.03,normal
ave,unico,adulto,28.81,81.43,89.91,atencao
ave,unico,filhote,29.24,47.28,91.36,normal
cao,medio,adulto,20.7,54.79,67.15,normal
cao,grande,adulto,25.19,42.61,82.89,normal
cao,grande,adulto,21.3,39.47,20.99,atencao
cao,medio,adulto,28.22,35.12,91.16,normal
gato,unico,adulto,25.51,63.11,81.96,atencao
gato,unico,adulto,28.74,49.78,98.26,normal
cao,pequeno,adulto,22.17,59.01,12.87,atencao
gato,unico,adulto,24.74,42.35,95.5,normal
gato,unico,adulto,33.54,37.32,16.87,normal
cao,pequeno,idoso,30.31,47.21,35.68,normal
cao,pequeno,adulto,30.26,51.8,98.54,normal
gato,unico,idoso,23.76,46.74,12.27,atencao
ave,unico,idoso,35.47,58.95,77.23,normal
ave,unico,adulto,40.37,56.96,22.49,atencao
gato,unico,adulto,33.24,64.0,3.35,critico
gato,unico,filhote,39.81,48.65,79.35,critico
cao,pequeno,adulto,24.36,61.48,33.4,normal
gato,unico,adulto,24.98,69.12,12.94,atencao
cao,grande,adulto,27.46,73.88,37.35,atencao
cao,pequeno,adulto,18.79,60.16,26.35,critico
cao,grande,adulto,37.63,65.18,90.29,atencao
gato,unico,adulto,23.34,12.8,78.81,critico
gato,unico,adulto,27.81,52.1,23.0,normal
ave,unico,filhote,25.66,58.65,70.46,atencao
ave,unico,idoso,27.31,62.16,89.54,normal
cao,pequeno,adulto,25.71,61.02,97.34,normal
gato,unico,adulto,22.85,50.93,39.41,normal
cao,pequeno,filhote,31.23,52.64,74.21,normal
ave,unico,adulto,36.17,53.86,94.48,normal
cao,pequeno,adulto,28.0,36.32,77.19,normal
ave,unico,adulto,36.11,51.09,90.72,normal
gato,unico,adulto,19.49,36.75,58.1,atencao
gato,unico,adulto,28.37,31.34,45.91,normal
gato,unico,filhote,29.77,68.94,53.91,atencao
gato,unico,adulto,28.61,33.34,90.01,normal
gato,unico,adulto,31.25,50.21,97.21,normal
cao,medio,adulto,26.27,69.36,75.09,normal
gato,unico,filhote,28.6,38.64,90.28,normal
ave,unico,adulto,30.98,45.68,35.82,normal
gato,unico,adulto,27.84,51.1,3.6,critico
cao,pequeno,filhote,37.47,45.89,98.13,critico
ave,unico,adulto,29.72,37.29,70.15,atencao
ave,unico,idoso,34.5,90.07,94.19,critico
gato,unico,adulto,39.3,44.31,57.01,critico
cao,medio,filhote,31.69,44.4,41.68,normal
gato,unico,adulto,29.97,63.04,23.55,normal
ave,unico,adulto,28.36,44.97,57.62,normal
cao,medio,adulto,26.76,59.95,73.84,normal
cao,pequeno,idoso,29.04,83.44,86.32,critico
gato,unico,idoso,31.09,41.64,20.21,normal
gato,unico,filhote,29.85,36.62,43.58,normal
gato,unico,adulto,20.05,57.27,29.21,normal
gato,unico,filhote,33.53,61.46,40.65,atencao
ave,unico,adulto,21.7,70.32,49.01,atencao
cao,grande,adulto,11.06,31.33,47.8,critico
cao,grande,filhote,29.45,64.9,90.91,normal
gato,unico,filhote,30.17,59.81,13.71,atencao
cao,grande,adulto,23.9,66.29,75.3,normal
cao,grande,adulto,28.41,34.44,58.53,normal
cao,pequeno,adulto,26.91,64.58,5.47,critico
ave,unico,idoso,30.58,71.68,47.69,normal
cao,pequeno,filhote,26.51,34.43,81.64,normal
cao,medio,idoso,32.83,42.52,90.0,normal
cao,medio,filhote,24.85,63.97,25.07,atencao
cao,pequeno,adulto,32.07,30.72,97.21,normal
gato,unico,adulto,30.17,42.19,85.5,normal
gato,unico,idoso,24.4,62.67,26.92,normal
gato,unico,adulto,29.85,51.63,23.21,atencao
cao,grande,adulto,23.63,30.5,60.16,normal
gato,unico,filhote,24.64,53.34,1.75,critico
cao,medio,adulto,24.5,59.73,28.61,normal
cao,grande,idoso,36.11,75.51,71.29,atencao
ave,unico,idoso,36.67,48.14,45.82,normal
cao,medio,adulto,23.59,61.78,27.6,normal
cao,medio,adulto,28.74,69.82,89.18,normal
gato,unico,adulto,27.3,32.55,85.67,normal
gato,unico,adulto,17.44,59.5,59.65,atencao
gato,unico,filhote,21.44,62.53,22.97,normal
cao,pequeno,adulto,34.34,31.01,77.08,normal
ave,unico,adulto,26.15,71.87,65.19,normal
ave,unico,filhote,27.69,52.76,50.87,normal
cao,grande,idoso,23.3,28.3,71.18,atencao
gato,unico,idoso,29.41,41.07,11.91,atencao
gato,unico,idoso,22.29,46.07,57.81,normal
gato,unico,adulto,29.13,68.02,11.01,atencao
cao,pequeno,adulto,31.15,50.25,72.56,normal
gato,unico,adulto,20.99,40.18,45.76,normal
gato,unico,adulto,26.61,31.83,26.9,normal
cao,medio,adulto,24.15,68.86,49.85,normal
cao,pequeno,idoso,27.27,39.67,72.53,normal
cao,pequeno,idoso,24.7,40.04,65.88,normal
cao,medio,adulto,20.08,85.25,8.33,critico
cao,pequeno,adulto,35.32,43.55,85.19,atencao
ave,unico,adulto,33.01,57.94,54.08,normal
ave,unico,filhote,37.14,54.44,46.3,normal
cao,grande,adulto,29.26,77.97,90.99,atencao
cao,grande,idoso,28.45,34.01,77.09,normal
cao,pequeno,adulto,20.67,48.02,23.94,atencao
cao,grande,adulto,22.48,45.59,79.74,normal
gato,unico,filhote,35.26,57.28,67.71,atencao
cao,pequeno,filhote,25.07,61.01,96.83,normal
gato,unico,filhote,30.82,33.05,13.37,atencao
cao,medio,adulto,20.77,40.3,29.46,normal
ave,unico,adulto,33.45,64.03,42.44,normal
gato,unico,adulto,25.37,48.25,46.37,normal
cao,pequeno,idoso,22.67,47.24,82.44,normal
ave,unico,filhote,23.52,52.18,85.29,atencao
ave,unico,idoso,30.96,61.85,79.2,normal
gato,unico,adulto,32.43,15.15,3.18,critico
gato,unico,idoso,31.92,53.83,16.16,atencao
cao,grande,idoso,30.36,37.1,93.11,normal
gato,unico,filhote,21.84,51.15,7.55,atencao
ave,unico,adulto,25.16,54.77,54.18,normal
gato,unico,idoso,26.83,52.62,21.25,normal
gato,unico,adulto,14.04,38.64,54.66,critico
cao,medio,filhote,35.54,61.75,78.29,atencao
gato,unico,adulto,26.02,56.92,38.41,normal
ave,unico,adulto,29.29,67.61,26.7,atencao
gato,unico,adulto,31.18,62.9,87.89,normal
gato,unico,idoso,15.6,36.36,16.35,critico
cao,pequeno,adulto,20.18,44.8,27.06,normal
gato,unico,idoso,25.73,50.88,59.79,normal
gato,unico,idoso,34.05,37.85,90.95,atencao
ave,unico,filhote,30.17,47.22,42.67,normal
gato,unico,idoso,28.74,54.65,45.7,normal
cao,grande,adulto,21.08,87.98,32.59,critico
gato,unico,adulto,31.86,51.24,86.55,normal
gato,unico,filhote,27.95,52.03,26.32,normal
cao,pequeno,idoso,23.26,66.05,45.54,normal
gato,unico,idoso,32.68,20.07,49.29,critico
gato,unico,adulto,16.04,67.03,50.2,atencao
cao,medio,adulto,15.12,60.25,59.39,atencao
gato,unico,adulto,24.05,66.0,24.87,normal
ave,unico,adulto,40.12,56.59,63.87,atencao
cao,pequeno,adulto,34.92,51.82,31.62,normal
cao,grande,filhote,28.86,38.15,31.6,normal
cao,pequeno,adulto,34.56,60.94,98.51,normal
cao,grande,adulto,27.17,51.29,12.53,atencao
gato,unico,idoso,23.99,61.51,46.98,normal
cao,pequeno,idoso,31.67,16.22,33.48,critico
gato,unico,adulto,24.79,40.81,14.66,atencao
gato,unico,adulto,27.81,43.89,64.34,normal
cao,medio,idoso,22.9,48.1,22.82,atencao
cao,medio,filhote,12.91,59.6,81.26,critico
ave,unico,adulto,29.21,51.4,86.51,normal
gato,unico,adulto,16.01,45.81,18.35,atencao
gato,unico,adulto,26.66,51.72,34.36,normal
gato,unico,filhote,32.52,63.92,77.12,normal
ave,unico,filhote,32.4,68.51,48.86,normal
gato,unico,idoso,30.46,67.74,73.71,critico
gato,unico,filhote,26.6,34.17,97.5,normal
gato,unico,adulto,33.29,50.52,22.96,normal
cao,medio,adulto,31.32,49.68,47.68,normal
cao,pequeno,adulto,27.37,50.9,18.44,atencao
gato,unico,adulto,26.18,54.23,93.09,normal
cao,grande,adulto,25.43,59.03,92.08,normal
ave,unico,filhote,31.48,82.93,86.15,atencao
gato,unico,adulto,28.03,22.15,99.67,atencao
gato,unico,adulto,20.83,30.13,69.42,normal
cao,grande,adulto,24.48,70.94,91.26,atencao
ave,unico,adulto,31.28,57.87,75.73,normal
gato,unico,adulto,32.97,30.76,55.53,normal
ave,unico,filhote,34.23,64.13,81.91,normal
ave,unico,filhote,27.65,51.53,62.28,normal
ave,unico,idoso,35.62,50.92,53.57,normal
ave,unico,adulto,38.4,40.31,34.97,normal
cao,pequeno,adulto,30.15,63.14,2.95,critico
cao,medio,adulto,20.21,11.71,72.47,critico
cao,grande,idoso,17.48,58.62,83.69,atencao
cao,pequeno,adulto,29.88,60.64,88.44,atencao
gato,unico,adulto,28.59,33.54,9.88,atencao
gato,unico,idoso,21.97,46.86,51.17,normal
cao,medio,adulto,20.99,43.95,33.32,normal
gato,unico,filhote,30.67,65.22,23.6,normal
cao,pequeno,adulto,34.33,50.9,47.47,normal
ave,unico,idoso,26.96,57.52,87.91,normal
ave,unico,filhote,34.46,44.12,45.46,normal
ave,unico,filhote,30.84,51.41,54.85,normal
gato,unico,filhote,24.39,60.32,94.17,normal
cao,grande,idoso,26.29,63.81,52.11,normal
cao,grande,adulto,27.15,39.04,73.04,normal
ave,unico,idoso,37.7,60.58,17.11,critico
cao,grande,adulto,29.72,34.92,91.65,normal
cao,grande,adulto,27.55,76.81,86.61,atencao
gato,unico,adulto,34.22,77.89,54.37,atencao
cao,pequeno,adulto,23.52,42.13,46.75,normal
cao,medio,adulto,28.45,34.8,93.76,normal
gato,unico,filhote,29.63,46.65,30.71,normal
cao,medio,adulto,33.23,62.95,79.13,normal
ave,unico,adulto,28.8,54.09,41.68,normal
ave,unico,adulto,27.65,67.41,81.48,normal
cao,grande,filhote,28.69,63.45,70.58,normal
cao,pequeno,filhote,27.08,44.57,95.8,normal
cao,medio,filhote,22.18,64.65,26.35,atencao
gato,unico,adulto,21.82,14.21,8.13,critico
gato,unico,adulto,31.05,65.67,2.17,critico
gato,unico,adulto,32.74,45.09,96.95,normal
cao,pequeno,filhote,22.26,56.36,64.27,normal
cao,grande,adulto,14.65,63.77,75.69,critico
gato,unico,idoso,17.51,57.24,72.53,atencao
gato,unico,adulto,33.52,60.44,14.51,atencao
cao,grande,filhote,30.08,43.13,36.85,normal
cao,medio,adulto,31.73,55.77,28.61,normal
cao,medio,adulto,25.4,68.27,62.53,normal
gato,unico,idoso,26.2,48.56,34.85,normal
gato,unico,adulto,25.16,44.79,19.45,normal
gato,unico,adulto,30.75,46.66,84.89,normal
ave,unico,adulto,36.9,47.42,77.73,normal
cao,grande,idoso,27.15,62.93,44.64,normal
ave,unico,adulto,34.49,61.27,54.19,normal
cao,medio,adulto,22.05,56.07,80.39,normal
ave,unico,filhote,40.44,44.18,81.31,atencao
gato,unico,filhote,26.62,52.69,24.68,normal
gato,unico,adulto,20.6,56.67,84.98,normal
cao,medio,adulto,31.73,51.75,32.49,normal
gato,unico,adulto,29.63,39.68,92.44,normal
cao,grande,adulto,32.57,58.38,96.16,normal
cao,medio,adulto,20.47,59.45,49.77,normal
cao,grande,adulto,33.59,40.67,79.36,normal
ave,unico,adulto,37.29,41.46,60.85,normal
ave,unico,adulto,35.67,55.92,52.37,normal
cao,grande,filhote,23.93,79.44,38.27,atencao
ave,unico,adulto,20.38,53.39,58.9,atencao
cao,grande,filhote,18.0,33.6,50.12,atencao
cao,pequeno,adulto,31.6,50.72,51.11,normal
gato,unico,adulto,25.2,30.05,40.48,normal
gato,unico,filhote,34.35,62.89,73.28,atencao
ave,unico,adulto,41.7,67.41,85.72,atencao
gato,unico,adulto,26.41,72.28,13.99,atencao
cao,medio,adulto,30.65,67.5,70.25,normal
cao,pequeno,filhote,27.16,35.03,76.82,normal
cao,medio,adulto,28.73,69.61,42.94,normal
cao,grande,idoso,27.89,55.13,74.91,normal
ave,unico,idoso,32.73,65.74,15.58,atencao
cao,pequeno,adulto,30.88,54.79,92.21,normal
cao,pequeno,idoso,31.93,43.71,48.91,normal
cao,medio,adulto,34.72,51.09,92.98,normal
gato,unico,filhote,23.0,54.86,84.34,normal
gato,unico,adulto,33.26,43.49,76.62,normal
gato,unico,filhote,27.46,35.06,74.47,normal
gato,unico,adulto,29.66,85.04,68.63,critico
gato,unico,adulto,26.27,35.37,96.42,normal
cao,grande,filhote,27.88,41.22,64.75,normal
cao,grande,idoso,20.96,54.11,94.96,atencao
cao,medio,adulto,40.3,51.86,57.46,critico
ave,unico,filhote,26.57,47.56,17.98,critico
cao,pequeno,idoso,23.79,34.7,88.96,normal
cao,medio,filhote,33.64,26.97,57.07,atencao
gato,unico,adulto,29.23,34.36,69.11,normal
cao,pequeno,adulto,37.98,58.47,98.59,atencao
gato,unico,filhote,27.83,41.82,53.63,normal
cao,grande,filhote,12.76,40.27,30.33,critico
ave,unico,adulto,25.2,69.03,82.59,normal
cao,pequeno,idoso,25.65,56.74,57.31,normal
ave,unico,adulto,38.34,73.85,60.53,normal
gato,unico,filhote,31.22,59.29,43.18,normal
cao,grande,adulto,23.48,25.0,1.63,critico
gato,unico,adulto,27.91,60.87,57.41,normal
cao,medio,adulto,20.18,30.36,51.78,normal
ave,unico,idoso,37.07,49.43,78.49,normal
gato,unico,idoso,23.69,43.94,87.49,normal
ave,unico,adulto,35.2,43.34,26.43,atencao
cao,pequeno,idoso,21.5,49.35,76.17,normal
gato,unico,filhote,22.46,42.82,50.41,normal
cao,pequeno,adulto,33.79,12.47,17.69,critico
cao,pequeno,adulto,27.22,55.42,31.8,normal
cao,grande,adulto,20.49,32.31,58.33,normal
cao,medio,filhote,24.64,54.15,99.47,normal
gato,unico,adulto,25.41,52.95,50.33,normal
ave,unico,filhote,36.13,69.47,92.79,normal
gato,unico,filhote,32.65,26.7,35.83,atencao
cao,grande,adulto,20.58,31.44,38.14,normal
cao,medio,adulto,33.0,41.3,24.26,atencao
cao,grande,filhote,19.93,52.15,59.59,atencao
cao,pequeno,adulto,24.9,63.59,35.79,normal
cao,grande,adulto,26.45,66.15,88.44,normal
cao,medio,filhote,26.24,58.95,87.52,normal
cao,grande,adulto,33.33,51.78,40.33,normal
cao,pequeno,adulto,23.83,41.83,69.54,normal
gato,unico,adulto,20.46,55.44,45.97,normal
gato,unico,filhote,24.56,62.9,55.53,normal
ave,unico,adulto,26.33,68.94,38.1,normal
gato,unico,filhote,29.7,30.08,71.56,atencao
cao,pequeno,idoso,19.07,48.75,32.62,atencao
ave,unico,idoso,29.5,70.32,64.22,normal
cao,grande,adulto,13.83,23.86,29.6,critico
cao,pequeno,filhote,25.74,32.66,45.37,atencao
cao,medio,adulto,24.56,21.56,91.21,atencao
ave,unico,adulto,25.73,46.69,55.16,normal
gato,unico,adulto,30.24,55.63,2.08,critico
cao,pequeno,filhote,30.8,53.73,92.66,normal
gato,unico,adulto,31.45,40.11,38.07,atencao
cao,medio,adulto,21.88,43.48,99.97,normal
cao,grande,filhote,26.3,83.52,57.17,critico
gato,unico,adulto,28.27,56.44,21.67,normal
gato,unico,adulto,18.77,30.83,37.87,atencao
cao,grande,idoso,27.72,42.14,73.77,normal
gato,unico,adulto,26.75,44.47,95.68,normal
gato,unico,idoso,28.57,37.42,3.29,critico
cao,medio,idoso,31.08,57.09,41.56,normal
ave,unico,idoso,37.62,55.98,50.53,normal
cao,grande,idoso,23.42,36.34,86.13,normal
cao,medio,adulto,21.83,35.01,88.79,normal
gato,unico,filhote,25.15,34.05,21.92,normal
cao,pequeno,adulto,22.13,75.03,98.39,atencao
gato,unico,adulto,31.99,58.05,76.8,normal
cao,pequeno,adulto,28.43,67.88,62.22,normal
gato,unico,adulto,25.33,36.52,81.83,normal
cao,grande,adulto,31.02,45.37,26.89,normal
cao,medio,idoso,31.82,33.39,79.08,normal
gato,unico,filhote,39.72,23.25,75.7,critico
ave,unico,adulto,36.44,59.13,97.86,normal
cao,pequeno,adulto,17.15,42.35,17.23,atencao
cao,medio,filhote,22.64,77.2,21.52,atencao
cao,medio,idoso,26.18,37.48,90.49,normal
gato,unico,adulto,22.2,42.39,39.65,normal
gato,unico,filhote,31.42,55.87,83.26,normal
cao,pequeno,adulto,16.56,67.41,88.8,atencao
gato,unico,filhote,20.65,33.41,73.15,atencao
gato,unico,filhote,21.67,51.66,41.33,normal
ave,unico,filhote,29.7,53.13,77.72,normal
ave,unico,idoso,30.03,64.42,64.97,normal
cao,grande,adulto,21.03,61.35,46.43,normal
ave,unico,adulto,31.06,63.99,56.61,normal
cao,pequeno,adulto,20.85,20.72,98.65,atencao
gato,unico,adulto,30.99,59.34,24.88,normal
cao,pequeno,filhote,31.08,59.7,71.84,normal
gato,unico,adulto,33.87,43.01,95.01,normal
ave,unico,adulto,24.9,42.36,68.72,atencao
cao,grande,idoso,23.41,66.0,37.41,normal
cao,medio,adulto,36.67,37.59,68.66,atencao
gato,unico,adulto,16.73,45.9,37.46,atencao
gato,unico,adulto,22.87,49.32,37.83,normal
cao,pequeno,adulto,24.31,56.27,97.64,normal
cao,pequeno,idoso,28.82,35.62,13.1,atencao
cao,grande,adulto,34.27,41.89,31.91,normal
cao,medio,adulto,28.99,71.38,66.5,atencao
gato,unico,idoso,28.69,79.3,38.31,atencao
gato,unico,adulto,29.46,58.27,3.05,critico
gato,unico,adulto,24.38,40.84,65.8,normal
gato,unico,adulto,32.13,67.87,0.53,critico
gato,unico,adulto,22.17,67.79,77.61,normal
gato,unico,filhote,31.56,39.89,66.04,normal
cao,grande,adulto,30.52,57.2,55.61,normal
cao,grande,idoso,21.32,52.82,47.28,normal
gato,unico,adulto,26.3,68.3,48.92,normal
cao,medio,adulto,32.6,37.54,75.43,normal
cao,pequeno,adulto,34.66,34.08,25.62,normal
cao,grande,adulto,35.98,65.6,31.32,atencao
gato,unico,filhote,30.66,62.28,84.95,normal
cao,pequeno,adulto,27.69,47.54,99.72,normal
gato,unico,filhote,23.78,51.59,13.77,atencao
cao,medio,adulto,30.51,38.16,74.05,normal
ave,unico,adulto,24.39,65.86,35.89,atencao
gato,unico,idoso,24.01,40.29,39.95,normal
ave,unico,adulto,28.47,42.19,64.83,normal
cao,medio,filhote,17.79,53.3,71.4,atencao
cao,medio,adulto,25.58,43.32,23.27,atencao
ave,unico,idoso,30.61,57.31,57.84,normal
gato,unico,adulto,31.01,45.9,58.66,normal
cao,medio,adulto,18.69,50.86,30.13,atencao
cao,medio,filhote,25.86,64.31,7.61,critico
gato,unico,filhote,27.46,42.14,47.99,normal
gato,unico,adulto,32.53,56.66,12.87,atencao
ave,unico,adulto,22.06,70.58,29.57,atencao
gato,unico,idoso,30.97,49.98,61.71,normal
gato,unico,idoso,22.77,59.66,10.82,atencao
ave,unico,idoso,32.0,65.98,76.4,normal
gato,unico,filhote,23.44,53.07,51.22,atencao
cao,pequeno,filhote,18.96,80.8,49.25,critico
cao,grande,adulto,30.69,30.46,55.66,normal
ave,unico,adulto,37.94,43.92,68.57,normal
gato,unico,adulto,10.93,13.73,12.21,critico
gato,unico,idoso,30.89,48.17,84.01,normal
ave,unico,idoso,26.14,70.13,67.25,normal
cao,grande,adulto,28.3,40.2,80.69,normal
cao,medio,adulto,21.15,64.91,87.11,normal
gato,unico,adulto,23.02,62.37,12.86,atencao
gato,unico,filhote,28.57,45.7,40.01,normal
cao,grande,adulto,23.48,42.74,92.77,normal
gato,unico,filhote,21.97,61.18,46.38,normal
cao,medio,adulto,27.82,61.78,91.33,normal
gato,unico,adulto,24.83,48.47,50.23,normal
cao,grande,adulto,20.2,41.84,59.44,normal
ave,unico,idoso,30.94,64.1,63.81,normal
ave,unico,idoso,31.87,55.41,84.74,normal
gato,unico,adulto,32.08,51.28,82.1,normal
cao,grande,adulto,24.45,51.65,50.89,normal
gato,unico,filhote,25.98,57.9,90.25,normal
cao,medio,filhote,22.67,54.58,70.5,normal
cao,medio,adulto,36.56,54.31,43.4,atencao
cao,grande,adulto,20.87,74.01,50.18,atencao
gato,unico,adulto,30.49,52.88,14.86,atencao
cao,medio,idoso,26.41,58.63,90.93,normal
cao,grande,adulto,30.18,80.53,37.88,atencao
cao,grande,filhote,27.5,47.01,90.86,normal
cao,medio,adulto,29.47,51.3,11.73,atencao
gato,unico,filhote,28.26,36.98,9.85,atencao
ave,unico,idoso,40.45,57.87,14.67,critico
cao,medio,adulto,31.47,57.16,82.97,normal
cao,grande,adulto,34.27,61.06,70.85,normal
ave,unico,filhote,36.25,62.65,65.18,normal
gato,unico,adulto,32.4,38.88,75.74,normal
cao,grande,adulto,33.22,59.25,77.3,normal
cao,grande,filhote,30.72,48.81,91.12,normal
gato,unico,adulto,22.85,35.1,39.27,normal
gato,unico,idoso,27.38,50.36,4.83,critico
cao,pequeno,filhote,26.28,49.47,30.36,normal
cao,grande,adulto,26.15,55.91,10.23,atencao
gato,unico,filhote,24.39,40.07,21.1,normal
cao,grande,adulto,36.17,51.67,97.6,atencao
cao,grande,adulto,21.0,55.93,30.56,normal
ave,unico,adulto,40.54,74.62,50.05,atencao
cao,medio,adulto,34.14,31.71,58.48,normal
gato,unico,idoso,21.88,81.61,23.31,critico
ave,unico,idoso,30.45,34.59,43.84,atencao
cao,pequeno,adulto,25.25,67.17,3.79,critico
ave,unico,idoso,35.94,67.68,63.13,normal
cao,pequeno,adulto,29.48,33.81,1.04,critico
cao,medio,adulto,20.73,53.24,56.96,normal
cao,medio,filhote,28.11,50.72,54.13,normal
ave,unico,adulto,34.48,66.55,35.95,normal
cao,pequeno,idoso,23.77,57.25,56.7,normal
ave,unico,filhote,33.93,52.95,64.16,normal
gato,unico,adulto,22.22,40.33,66.46,normal
cao,medio,adulto,26.5,60.97,88.94,normal
cao,pequeno,adulto,28.12,60.33,48.02,normal
gato,unico,idoso,25.99,57.23,49.45,normal
cao,pequeno,adulto,28.83,37.41,69.98,normal
ave,unico,idoso,36.3,68.47,83.78,normal
cao,medio,adulto,10.94,33.08,77.21,critico
cao,medio,filhote,26.01,60.94,75.97,normal
gato,unico,adulto,31.15,40.88,73.85,normal
gato,unico,filhote,24.19,64.93,70.05,normal
cao,grande,adulto,12.64,63.04,59.73,critico
cao,grande,filhote,24.68,55.26,87.56,normal
gato,unico,adulto,20.88,61.07,84.84,normal
gato,unico,adulto,26.46,69.33,81.87,normal
gato,unico,filhote,30.26,58.43,30.05,normal
cao,grande,adulto,23.26,48.56,13.96,atencao
cao,medio,adulto,26.23,86.22,66.8,critico
cao,medio,idoso,21.62,55.67,52.21,normal
cao,medio,adulto,33.47,22.71,80.22,atencao
gato,unico,adulto,26.11,56.67,23.02,normal
cao,medio,filhote,30.66,60.63,79.31,normal
cao,grande,adulto,34.51,63.07,92.73,normal
cao,grande,filhote,33.03,60.25,77.01,atencao
ave,unico,filhote,26.12,32.95,43.55,atencao
cao,medio,adulto,26.17,35.2,26.68,normal
cao,pequeno,adulto,25.41,61.35,67.46,normal
cao,medio,adulto,24.69,56.17,42.4,normal
cao,grande,adulto,20.22,60.57,71.78,normal
